model_name,input_token,output_token,latency_sec,tps
gpt-5.4-2026-03-05,101,25,,
gpt-5.4-2026-03-05,259,133,,
gpt-5.4-2026-03-05,130,47,,
gpt-5.4-2026-03-05,113,31,,
gpt-5.4-2026-03-05,173,65,,
gpt-5.4-2026-03-05,290,142,,
gpt-5.4-2026-03-05,498,288,,
gpt-5.4-2026-03-05,151,50,,
gpt-5.4-2026-03-05,107,23,,
gpt-5.4-2026-03-05,374,195,,
gpt-5.4-2026-03-05,317,159,,
gpt-5.4-2026-03-05,287,155,,
gpt-5.4-2026-03-05,201,94,,
gpt-5.4-2026-03-05,99,19,,
gpt-5.4-2026-03-05,165,56,,
gpt-5.4-2026-03-05,207,81,,
gpt-5.4-2026-03-05,273,129,,
gpt-5.4-2026-03-05,318,157,,
gpt-5.4-2026-03-05,260,121,,
gpt-5.4-2026-03-05,274,131,,
gpt-5.4-2026-03-05,286,138,,
gpt-5.4-2026-03-05,103,25,,
gpt-5.4-2026-03-05,113,31,,
gpt-5.4-2026-03-05,391,198,,
gpt-5.4-2026-03-05,310,157,,
gpt-5.4-2026-03-05,433,216,,
gpt-5.4-2026-03-05,310,152,,
gpt-5.4-2026-03-05,460,258,,
gpt-5.4-2026-03-05,118,35,,
gpt-5.4-2026-03-05,217,97,,
gpt-5.4-2026-03-05,208,92,,
gpt-5.4-2026-03-05,191,79,,
gpt-5.4-2026-03-05,218,106,,
gpt-5.4-2026-03-05,295,137,,
gpt-5.4-2026-03-05,245,104,,
gpt-5.4-2026-03-05,260,127,,
gpt-5.4-2026-03-05,222,108,,
gpt-5.4-2026-03-05,221,93,,
gpt-5.4-2026-03-05,222,88,,
gpt-5.4-2026-03-05,234,102,,
gpt-5.4-2026-03-05,227,113,,
gpt-5.4-2026-03-05,111,27,,
gpt-5.4-2026-03-05,304,163,,
gpt-5.4-2026-03-05,524,268,,
gpt-5.4-2026-03-05,379,199,,
gpt-5.4-2026-03-05,111,29,,
gpt-5.4-2026-03-05,200,91,,
gpt-5.4-2026-03-05,266,129,,
gpt-5.4-2026-03-05,313,175,,
gpt-5.4-2026-03-05,282,140,,
gpt-5.4-2026-03-05,214,94,,
gpt-5.4-2026-03-05,210,99,,
gpt-5.4-2026-03-05,200,87,,
gpt-5.4-2026-03-05,286,155,,
gpt-5.4-2026-03-05,281,154,,
gpt-5.4-2026-03-05,252,114,,
gpt-5.4-2026-03-05,239,120,,
gpt-5.4-2026-03-05,301,140,,
gpt-5.4-2026-03-05,270,126,,
gpt-5.4-2026-03-05,114,31,,
gpt-5.4-2026-03-05,195,92,,
gpt-5.4-2026-03-05,173,62,,
gpt-5.4-2026-03-05,236,108,,
gpt-5.4-2026-03-05,166,68,,
gpt-5.4-2026-03-05,308,152,,
gpt-5.4-2026-03-05,227,99,,
gpt-5.4-2026-03-05,181,69,,
gpt-5.4-2026-03-05,289,157,,
gpt-5.4-2026-03-05,105,31,,
gpt-5.4-2026-03-05,207,96,,
gpt-5.4-2026-03-05,302,150,,
gpt-5.4-2026-03-05,124,35,,
gpt-5.4-2026-03-05,121,29,,
gpt-5.4-2026-03-05,179,70,,
gpt-5.4-2026-03-05,284,126,,
gpt-5.4-2026-03-05,269,115,,
gpt-5.4-2026-03-05,399,198,,
gpt-5.4-2026-03-05,217,84,,
gpt-5.4-2026-03-05,185,72,,
gpt-5.4-2026-03-05,317,155,,
gpt-5.4-2026-03-05,132,41,,
gpt-5.4-2026-03-05,122,34,,
gpt-5.4-2026-03-05,251,123,,
gpt-5.4-2026-03-05,279,131,,
gpt-5.4-2026-03-05,287,141,,
gpt-5.4-2026-03-05,258,116,,
gpt-5.4-2026-03-05,227,106,,
gpt-5.4-2026-03-05,212,96,,
gpt-5.4-2026-03-05,123,39,,
gpt-5.4-2026-03-05,123,36,,
gpt-5.4-2026-03-05,149,58,,
gpt-5.4-2026-03-05,279,129,,
gpt-5.4-2026-03-05,306,143,,
gpt-5.4-2026-03-05,327,157,,
gpt-5.4-2026-03-05,167,63,,
gpt-5.4-2026-03-05,222,95,,
gpt-5.4-2026-03-05,109,30,,
gpt-5.4-2026-03-05,192,76,,
gpt-5.4-2026-03-05,465,212,,
gpt-5.4-2026-03-05,247,118,,
gpt-5.4-2026-03-05,312,152,,
gpt-5.4-2026-03-05,143,54,,
gpt-5.4-2026-03-05,320,152,,
gpt-5.4-2026-03-05,470,256,,
gpt-5.4-2026-03-05,116,31,,
gpt-5.4-2026-03-05,137,45,,
gpt-5.4-2026-03-05,168,63,,
gpt-5.4-2026-03-05,347,161,,
gpt-5.4-2026-03-05,270,117,,
gpt-5.4-2026-03-05,271,122,,
gpt-5.4-2026-03-05,354,161,,
gpt-5.4-2026-03-05,189,80,,
gpt-5.4-2026-03-05,397,210,,
gpt-5.4-2026-03-05,258,117,,
gpt-5.4-2026-03-05,142,51,,
gpt-5.4-2026-03-05,123,34,,
gpt-5.4-2026-03-05,256,121,,
gpt-5.4-2026-03-05,320,162,,
gpt-5.4-2026-03-05,210,99,,
gpt-5.4-2026-03-05,254,123,,
gpt-5.4-2026-03-05,228,114,,
gpt-5.4-2026-03-05,230,94,,
gpt-5.4-2026-03-05,111,32,,
gpt-5.4-2026-03-05,295,146,,
gpt-5.4-2026-03-05,242,108,,
gpt-5.4-2026-03-05,258,126,,
gpt-5.4-2026-03-05,325,151,,
gpt-5.4-2026-03-05,195,82,,
gpt-5.4-2026-03-05,275,132,,
gpt-5.4-2026-03-05,211,86,,
gpt-5.4-2026-03-05,232,113,,
gpt-5.4-2026-03-05,234,113,,
gpt-5.4-2026-03-05,150,48,,
gpt-5.4-2026-03-05,137,54,,
gpt-5.4-2026-03-05,112,26,,
gpt-5.4-2026-03-05,293,151,,
gpt-5.4-2026-03-05,267,108,,
gpt-5.4-2026-03-05,231,119,,
gpt-5.4-2026-03-05,390,208,,
gpt-5.4-2026-03-05,374,179,,
gpt-5.4-2026-03-05,217,99,,
gpt-5.4-2026-03-05,239,101,,
