model_name,input_token,output_token,latency_sec,tps
hunyuan-mt-7b,103,33,32.174,1.03
hunyuan-mt-7b,149,65,32.5322,2.0
hunyuan-mt-7b,308,202,34.1735,5.91
hunyuan-mt-7b,102,29,5.5909,5.19
hunyuan-mt-7b,104,29,5.5764,5.2
hunyuan-mt-7b,114,34,5.7029,5.96
hunyuan-mt-7b,112,34,5.7055,5.96
hunyuan-mt-7b,116,42,5.8469,7.18
hunyuan-mt-7b,123,55,6.073,9.06
hunyuan-mt-7b,162,66,6.2782,10.51
hunyuan-mt-7b,196,91,6.6764,13.63
hunyuan-mt-7b,196,98,6.7961,14.42
hunyuan-mt-7b,223,110,7.0157,15.68
hunyuan-mt-7b,114,50,0.9107,54.91
hunyuan-mt-7b,254,136,7.4558,18.24
hunyuan-mt-7b,258,145,7.6155,19.04
hunyuan-mt-7b,252,151,7.7416,19.5
hunyuan-mt-7b,295,156,7.8317,19.92
hunyuan-mt-7b,261,159,7.9107,20.1
hunyuan-mt-7b,116,41,0.7668,53.47
hunyuan-mt-7b,266,167,8.0735,20.68
hunyuan-mt-7b,311,173,8.176,21.16
hunyuan-mt-7b,269,153,2.8095,54.46
hunyuan-mt-7b,272,157,2.8461,55.16
hunyuan-mt-7b,277,166,3.0123,55.11
hunyuan-mt-7b,347,204,8.7553,23.3
hunyuan-mt-7b,384,210,8.8666,23.68
hunyuan-mt-7b,302,169,3.0685,55.08
hunyuan-mt-7b,323,182,3.3757,53.92
hunyuan-mt-7b,351,215,8.9766,23.95
hunyuan-mt-7b,372,222,9.1164,24.35
hunyuan-mt-7b,278,165,3.0453,54.18
hunyuan-mt-7b,401,233,9.3241,24.99
hunyuan-mt-7b,405,239,9.4517,25.29
hunyuan-mt-7b,384,240,9.4644,25.36
hunyuan-mt-7b,412,255,9.7417,26.18
hunyuan-mt-7b,361,256,9.738,26.29
hunyuan-mt-7b,386,262,9.8822,26.51
hunyuan-mt-7b,470,264,9.9152,26.63
hunyuan-mt-7b,239,127,2.4695,51.43
hunyuan-mt-7b,116,53,1.0874,48.74
hunyuan-mt-7b,235,126,2.3813,52.91
hunyuan-mt-7b,495,302,10.5632,28.59
hunyuan-mt-7b,248,141,2.6634,52.94
hunyuan-mt-7b,105,50,0.9702,51.54
hunyuan-mt-7b,192,83,1.5794,52.55
hunyuan-mt-7b,255,147,2.7984,52.53
hunyuan-mt-7b,202,98,1.9057,51.42
hunyuan-mt-7b,131,49,0.9638,50.84
hunyuan-mt-7b,131,50,0.9883,50.59
hunyuan-mt-7b,379,227,4.3464,52.23
hunyuan-mt-7b,313,175,3.4331,50.97
hunyuan-mt-7b,213,91,1.786,50.95
hunyuan-mt-7b,227,120,2.3357,51.38
hunyuan-mt-7b,347,192,3.7183,51.64
hunyuan-mt-7b,570,361,11.7567,30.71
hunyuan-mt-7b,313,174,3.3586,51.81
hunyuan-mt-7b,347,189,3.6253,52.13
hunyuan-mt-7b,602,375,12.0039,31.24
hunyuan-mt-7b,147,61,1.188,51.35
hunyuan-mt-7b,280,157,2.9942,52.43
hunyuan-mt-7b,136,70,1.3347,52.45
hunyuan-mt-7b,251,132,2.5536,51.69
hunyuan-mt-7b,267,155,2.9759,52.08
hunyuan-mt-7b,362,223,4.2767,52.14
hunyuan-mt-7b,285,196,3.8152,51.37
hunyuan-mt-7b,333,191,3.7117,51.46
hunyuan-mt-7b,207,96,1.9627,48.91
hunyuan-mt-7b,387,256,4.9865,51.34
hunyuan-mt-7b,214,120,2.4452,49.08
hunyuan-mt-7b,486,308,5.9343,51.9
hunyuan-mt-7b,648,421,12.9884,32.41
hunyuan-mt-7b,374,216,4.2477,50.85
hunyuan-mt-7b,135,60,1.2947,46.34
hunyuan-mt-7b,109,31,0.7372,42.05
hunyuan-mt-7b,140,62,1.3357,46.42
hunyuan-mt-7b,260,139,2.8086,49.49
hunyuan-mt-7b,175,85,1.748,48.63
hunyuan-mt-7b,389,231,4.518,51.13
hunyuan-mt-7b,120,53,1.0593,50.03
hunyuan-mt-7b,379,222,4.3447,51.1
hunyuan-mt-7b,190,84,1.7462,48.1
hunyuan-mt-7b,157,69,1.3901,49.64
hunyuan-mt-7b,333,189,3.8007,49.73
hunyuan-mt-7b,155,65,1.2604,51.57
hunyuan-mt-7b,317,175,3.4382,50.9
hunyuan-mt-7b,259,135,2.7086,49.84
hunyuan-mt-7b,360,196,3.967,49.41
hunyuan-mt-7b,285,156,3.1401,49.68
hunyuan-mt-7b,404,246,4.8821,50.39
hunyuan-mt-7b,326,175,3.5031,49.96
hunyuan-mt-7b,683,417,8.0992,51.49
hunyuan-mt-7b,231,117,2.401,48.73
hunyuan-mt-7b,203,94,1.8985,49.51
hunyuan-mt-7b,357,203,4.0375,50.28
hunyuan-mt-7b,275,143,2.935,48.72
hunyuan-mt-7b,394,230,4.5873,50.14
hunyuan-mt-7b,136,52,1.0926,47.59
hunyuan-mt-7b,113,39,0.8245,47.3
hunyuan-mt-7b,354,220,4.3895,50.12
hunyuan-mt-7b,156,79,1.6108,49.04
hunyuan-mt-7b,313,179,3.5178,50.88
hunyuan-mt-7b,221,109,2.1651,50.34
hunyuan-mt-7b,341,211,4.2004,50.23
hunyuan-mt-7b,385,235,4.604,51.04
hunyuan-mt-7b,114,33,0.6113,53.98
hunyuan-mt-7b,397,221,4.2637,51.83
hunyuan-mt-7b,250,136,2.6133,52.04
hunyuan-mt-7b,356,187,3.5811,52.22
hunyuan-mt-7b,425,250,4.9158,50.86
hunyuan-mt-7b,161,80,1.4846,53.89
hunyuan-mt-7b,530,342,6.6824,51.18
hunyuan-mt-7b,285,154,2.9028,53.05
hunyuan-mt-7b,355,204,3.9322,51.88
hunyuan-mt-7b,242,127,2.368,53.63
hunyuan-mt-7b,150,82,1.5801,51.89
hunyuan-mt-7b,315,178,3.4778,51.18
hunyuan-mt-7b,340,196,3.826,51.23
hunyuan-mt-7b,313,178,3.458,51.48
hunyuan-mt-7b,394,256,5.0265,50.93
hunyuan-mt-7b,299,165,3.2098,51.41
hunyuan-mt-7b,447,249,4.8723,51.11
hunyuan-mt-7b,260,141,2.7441,51.38
hunyuan-mt-7b,283,184,3.6217,50.8
hunyuan-mt-7b,123,41,0.9218,44.48
hunyuan-mt-7b,332,187,3.6254,51.58
hunyuan-mt-7b,598,310,6.1141,50.7
hunyuan-mt-7b,300,174,3.3261,52.31
hunyuan-mt-7b,294,178,3.402,52.32
hunyuan-mt-7b,414,247,4.782,51.65
hunyuan-mt-7b,385,236,4.4824,52.65
hunyuan-mt-7b,458,288,5.5425,51.96
hunyuan-mt-7b,183,78,1.4628,53.32
hunyuan-mt-7b,138,48,0.8416,57.03
hunyuan-mt-7b,146,55,0.9567,57.49
hunyuan-mt-7b,270,136,2.6205,51.9
hunyuan-mt-7b,375,230,4.3147,53.31
hunyuan-mt-7b,254,125,2.3855,52.4
hunyuan-mt-7b,88,18,0.3337,53.93
hunyuan-mt-7b,108,33,0.5863,56.29
hunyuan-mt-7b,515,304,5.8262,52.18
hunyuan-mt-7b,102,30,0.5717,52.48
hunyuan-mt-7b,274,137,2.6068,52.56
hunyuan-mt-7b,425,261,4.9087,53.17
hunyuan-mt-7b,88,16,0.3395,47.13
hunyuan-mt-7b,297,168,3.2407,51.84
hunyuan-mt-7b,92,26,0.5366,48.46
hunyuan-mt-7b,79,38,0.7385,51.45
hunyuan-mt-7b,153,60,1.1252,53.32
hunyuan-mt-7b,169,73,1.3514,54.02
hunyuan-mt-7b,244,122,2.3039,52.95
hunyuan-mt-7b,366,210,4.0022,52.47
hunyuan-mt-7b,95,27,0.6021,44.84
hunyuan-mt-7b,620,387,7.4681,51.82
hunyuan-mt-7b,105,29,0.6456,44.92
hunyuan-mt-7b,116,34,0.7241,46.96
hunyuan-mt-7b,112,40,0.8859,45.15
hunyuan-mt-7b,307,178,3.4923,50.97
hunyuan-mt-7b,312,152,3.0143,50.43
hunyuan-mt-7b,110,31,0.7121,43.53
hunyuan-mt-7b,348,210,4.1393,50.73
hunyuan-mt-7b,270,148,2.874,51.5
hunyuan-mt-7b,97,22,0.501,43.91
hunyuan-mt-7b,126,40,0.9015,44.37
hunyuan-mt-7b,117,36,0.807,44.61
hunyuan-mt-7b,130,44,0.9805,44.87
hunyuan-mt-7b,85,12,0.291,41.24
hunyuan-mt-7b,331,154,2.9526,52.16
hunyuan-mt-7b,260,158,2.9762,53.09
hunyuan-mt-7b,163,81,1.6549,48.94
hunyuan-mt-7b,169,78,1.5767,49.47
hunyuan-mt-7b,108,31,0.577,53.73
hunyuan-mt-7b,145,65,1.3133,49.49
hunyuan-mt-7b,128,49,0.9307,52.65
hunyuan-mt-7b,132,43,0.8165,52.66
hunyuan-mt-7b,270,191,3.622,52.73
hunyuan-mt-7b,196,89,1.7947,49.59
hunyuan-mt-7b,142,54,1.0221,52.83
hunyuan-mt-7b,206,90,1.7851,50.42
hunyuan-mt-7b,190,87,1.7112,50.84
hunyuan-mt-7b,144,59,1.1066,53.32
hunyuan-mt-7b,155,57,1.0581,53.87
hunyuan-mt-7b,161,70,1.3224,52.93
hunyuan-mt-7b,137,49,0.925,52.97
hunyuan-mt-7b,172,79,1.4878,53.1
hunyuan-mt-7b,101,22,0.4411,49.88
hunyuan-mt-7b,114,34,0.6634,51.25
hunyuan-mt-7b,411,248,4.7723,51.97
hunyuan-mt-7b,85,14,0.2789,50.2
hunyuan-mt-7b,143,54,1.0266,52.6
hunyuan-mt-7b,135,56,1.0614,52.76
hunyuan-mt-7b,501,292,5.6247,51.91
hunyuan-mt-7b,130,46,0.866,53.12
hunyuan-mt-7b,145,53,0.9996,53.02
hunyuan-mt-7b,91,22,0.4289,51.29
hunyuan-mt-7b,188,87,1.5998,54.38
hunyuan-mt-7b,249,145,2.8093,51.61
hunyuan-mt-7b,101,25,0.474,52.75
hunyuan-mt-7b,208,131,2.5191,52.0
hunyuan-mt-7b,112,33,0.6543,50.44
hunyuan-mt-7b,138,54,1.0344,52.21
hunyuan-mt-7b,105,26,0.5268,49.36
hunyuan-mt-7b,169,82,1.5583,52.62
hunyuan-mt-7b,104,29,0.5775,50.22
hunyuan-mt-7b,497,312,5.9756,52.21
hunyuan-mt-7b,103,28,0.5552,50.43
hunyuan-mt-7b,143,45,0.8624,52.18
hunyuan-mt-7b,159,65,1.2548,51.8
hunyuan-mt-7b,85,15,0.3482,43.08
hunyuan-mt-7b,163,75,1.4467,51.84
hunyuan-mt-7b,106,29,0.6328,45.83
hunyuan-mt-7b,81,17,0.3984,42.67
hunyuan-mt-7b,87,18,0.4115,43.74
hunyuan-mt-7b,107,33,0.733,45.02
hunyuan-mt-7b,187,94,1.8489,50.84
hunyuan-mt-7b,423,258,4.9147,52.5
hunyuan-mt-7b,511,298,5.7488,51.84
hunyuan-mt-7b,114,35,0.783,44.7
hunyuan-mt-7b,375,280,5.3393,52.44
hunyuan-mt-7b,90,27,0.6539,41.29
hunyuan-mt-7b,119,56,1.2016,46.6
hunyuan-mt-7b,100,30,0.7057,42.51
hunyuan-mt-7b,139,45,1.0121,44.46
hunyuan-mt-7b,296,180,3.558,50.59
hunyuan-mt-7b,130,55,1.1875,46.31
hunyuan-mt-7b,220,157,3.0321,51.78
hunyuan-mt-7b,511,320,6.151,52.02
hunyuan-mt-7b,82,12,0.2355,50.95
hunyuan-mt-7b,150,65,1.3522,48.07
hunyuan-mt-7b,129,47,0.9791,48.0
hunyuan-mt-7b,209,106,2.0853,50.83
hunyuan-mt-7b,126,48,0.9653,49.73
hunyuan-mt-7b,128,40,0.7863,50.87
hunyuan-mt-7b,188,77,1.5593,49.38
hunyuan-mt-7b,120,38,0.7395,51.39
hunyuan-mt-7b,123,37,0.6721,55.05
hunyuan-mt-7b,258,136,2.6179,51.95
hunyuan-mt-7b,109,31,0.5785,53.59
hunyuan-mt-7b,138,51,0.9172,55.61
hunyuan-mt-7b,183,84,1.6593,50.62
hunyuan-mt-7b,101,32,0.6213,51.51
hunyuan-mt-7b,194,85,1.679,50.63
hunyuan-mt-7b,115,39,0.7411,52.62
hunyuan-mt-7b,153,68,1.2732,53.41
hunyuan-mt-7b,190,87,1.6776,51.86
hunyuan-mt-7b,203,99,1.9719,50.21
hunyuan-mt-7b,410,240,4.6156,52.0
hunyuan-mt-7b,353,244,4.6834,52.1
hunyuan-mt-7b,416,247,4.7393,52.12
hunyuan-mt-7b,104,27,0.549,49.18
hunyuan-mt-7b,106,29,0.5891,49.23
hunyuan-mt-7b,175,82,1.5489,52.94
hunyuan-mt-7b,137,47,0.9023,52.09
hunyuan-mt-7b,212,110,2.1683,50.73
hunyuan-mt-7b,106,29,0.6066,47.81
hunyuan-mt-7b,93,25,0.5154,48.51
hunyuan-mt-7b,197,95,1.8212,52.16
hunyuan-mt-7b,211,102,1.9509,52.28
hunyuan-mt-7b,173,82,1.5405,53.23
hunyuan-mt-7b,98,22,0.4667,47.14
hunyuan-mt-7b,92,21,0.4481,46.86
hunyuan-mt-7b,152,75,1.4341,52.3
hunyuan-mt-7b,139,69,1.3244,52.1
hunyuan-mt-7b,189,105,2.0113,52.21
hunyuan-mt-7b,153,71,1.3758,51.61
hunyuan-mt-7b,100,23,0.5009,45.91
hunyuan-mt-7b,141,61,1.1971,50.96
hunyuan-mt-7b,111,31,0.6522,47.53
hunyuan-mt-7b,84,16,0.3842,41.64
hunyuan-mt-7b,432,262,5.0241,52.15
hunyuan-mt-7b,225,119,2.3095,51.53
hunyuan-mt-7b,104,24,0.5382,44.6
hunyuan-mt-7b,95,20,0.4615,43.34
hunyuan-mt-7b,218,134,2.6649,50.28
hunyuan-mt-7b,88,16,0.3843,41.64
hunyuan-mt-7b,94,19,0.4417,43.01
hunyuan-mt-7b,105,27,0.5982,45.13
hunyuan-mt-7b,92,19,0.439,43.28
hunyuan-mt-7b,170,76,1.5098,50.34
hunyuan-mt-7b,282,146,2.9048,50.26
hunyuan-mt-7b,102,27,0.6074,44.45
hunyuan-mt-7b,104,28,0.5729,48.88
hunyuan-mt-7b,140,56,1.1315,49.49
hunyuan-mt-7b,89,18,0.3559,50.58
hunyuan-mt-7b,118,38,0.7655,49.64
hunyuan-mt-7b,107,32,0.6373,50.21
hunyuan-mt-7b,281,156,3.0295,51.49
hunyuan-mt-7b,129,49,1.0067,48.67
hunyuan-mt-7b,96,22,0.4515,48.72
hunyuan-mt-7b,116,36,0.7144,50.39
hunyuan-mt-7b,155,61,1.236,49.35
hunyuan-mt-7b,146,48,0.9822,48.87
hunyuan-mt-7b,190,87,1.7401,50.0
hunyuan-mt-7b,118,36,0.7043,51.11
hunyuan-mt-7b,153,63,1.2763,49.36
hunyuan-mt-7b,127,53,1.0608,49.96
hunyuan-mt-7b,121,54,1.0979,49.18
hunyuan-mt-7b,167,78,1.5608,49.97
hunyuan-mt-7b,148,58,1.1394,50.91
hunyuan-mt-7b,131,47,0.9024,52.09
hunyuan-mt-7b,127,47,0.901,52.17
hunyuan-mt-7b,134,47,0.9014,52.14
hunyuan-mt-7b,131,49,0.9359,52.35
hunyuan-mt-7b,230,114,2.25,50.67
hunyuan-mt-7b,118,41,0.8088,50.69
hunyuan-mt-7b,200,83,1.6307,50.9
hunyuan-mt-7b,134,40,0.7907,50.59
hunyuan-mt-7b,111,32,0.6377,50.18
hunyuan-mt-7b,188,96,1.9,50.53
hunyuan-mt-7b,151,74,1.4365,51.51
hunyuan-mt-7b,119,35,0.7087,49.38
hunyuan-mt-7b,106,30,0.5978,50.18
hunyuan-mt-7b,162,86,1.6848,51.04
hunyuan-mt-7b,128,43,0.8525,50.44
hunyuan-mt-7b,79,11,0.2447,44.96
hunyuan-mt-7b,141,56,1.0956,51.11
hunyuan-mt-7b,93,20,0.4147,48.23
hunyuan-mt-7b,150,53,1.0305,51.43
hunyuan-mt-7b,96,21,0.4352,48.25
hunyuan-mt-7b,244,139,2.7136,51.22
hunyuan-mt-7b,122,40,0.7661,52.21
hunyuan-mt-7b,92,31,0.6214,49.89
hunyuan-mt-7b,104,31,0.6417,48.31
hunyuan-mt-7b,96,22,0.4872,45.15
hunyuan-mt-7b,96,23,0.5014,45.88
hunyuan-mt-7b,86,19,0.4216,45.07
hunyuan-mt-7b,361,209,4.0393,51.74
hunyuan-mt-7b,89,18,0.3975,45.28
hunyuan-mt-7b,126,56,1.1304,49.54
hunyuan-mt-7b,118,41,0.8546,47.97
hunyuan-mt-7b,155,56,1.1253,49.76
hunyuan-mt-7b,183,74,1.4884,49.72
hunyuan-mt-7b,129,45,0.9344,48.16
hunyuan-mt-7b,149,58,1.1644,49.81
hunyuan-mt-7b,131,48,0.9858,48.69
hunyuan-mt-7b,160,66,1.3119,50.31
hunyuan-mt-7b,128,39,0.8126,48.0
hunyuan-mt-7b,89,19,0.4025,47.21
hunyuan-mt-7b,97,24,0.5261,45.62
hunyuan-mt-7b,115,34,0.7305,46.54
hunyuan-mt-7b,107,31,0.6671,46.47
hunyuan-mt-7b,87,15,0.3184,47.11
hunyuan-mt-7b,184,85,1.6794,50.61
hunyuan-mt-7b,119,35,0.7393,47.34
hunyuan-mt-7b,183,80,1.5878,50.38
hunyuan-mt-7b,104,28,0.5855,47.82
hunyuan-mt-7b,141,53,1.0799,49.08
hunyuan-mt-7b,113,32,0.6522,49.06
hunyuan-mt-7b,270,173,3.3818,51.16
hunyuan-mt-7b,149,62,1.2613,49.16
hunyuan-mt-7b,124,44,0.9135,48.17
hunyuan-mt-7b,88,17,0.3649,46.58
hunyuan-mt-7b,241,131,2.5334,51.71
hunyuan-mt-7b,96,25,0.514,48.64
hunyuan-mt-7b,116,31,0.6275,49.4
hunyuan-mt-7b,94,23,0.4764,48.28
hunyuan-mt-7b,137,51,1.0283,49.6
hunyuan-mt-7b,145,56,1.1441,48.94
hunyuan-mt-7b,158,65,1.3073,49.72
hunyuan-mt-7b,91,20,0.4106,48.71
hunyuan-mt-7b,122,38,0.765,49.67
hunyuan-mt-7b,106,26,0.5386,48.27
hunyuan-mt-7b,114,43,0.8507,50.55
hunyuan-mt-7b,137,52,1.0307,50.45
hunyuan-mt-7b,119,36,0.7365,48.88
hunyuan-mt-7b,135,54,1.0878,49.64
hunyuan-mt-7b,164,62,1.3005,47.67
hunyuan-mt-7b,111,32,0.6992,45.77
hunyuan-mt-7b,97,20,0.4609,43.39
hunyuan-mt-7b,106,26,0.563,46.18
hunyuan-mt-7b,113,35,0.7332,47.73
hunyuan-mt-7b,166,69,1.4257,48.4
hunyuan-mt-7b,101,30,0.6467,46.39
hunyuan-mt-7b,138,54,1.0997,49.11
hunyuan-mt-7b,277,162,3.1771,50.99
hunyuan-mt-7b,103,29,0.639,45.38
hunyuan-mt-7b,153,72,1.4855,48.47
hunyuan-mt-7b,90,20,0.4574,43.73
hunyuan-mt-7b,114,36,0.7697,46.77
hunyuan-mt-7b,168,72,1.4793,48.67
hunyuan-mt-7b,124,51,1.0706,47.64
hunyuan-mt-7b,93,20,0.4621,43.28
hunyuan-mt-7b,122,51,1.0703,47.65
hunyuan-mt-7b,98,27,0.6144,43.94
hunyuan-mt-7b,131,50,1.07,46.73
hunyuan-mt-7b,175,78,1.5854,49.2
hunyuan-mt-7b,173,73,1.4999,48.67
hunyuan-mt-7b,100,26,0.5556,46.8
hunyuan-mt-7b,124,39,0.8208,47.52
hunyuan-mt-7b,101,28,0.6056,46.23
hunyuan-mt-7b,122,40,0.8241,48.54
hunyuan-mt-7b,105,42,0.8602,48.82
hunyuan-mt-7b,121,36,0.7496,48.03
hunyuan-mt-7b,93,18,0.3869,46.53
hunyuan-mt-7b,124,43,0.8823,48.74
hunyuan-mt-7b,111,41,0.8508,48.19
hunyuan-mt-7b,109,39,0.8,48.75
hunyuan-mt-7b,125,38,0.7851,48.4
hunyuan-mt-7b,157,70,1.4621,47.88
hunyuan-mt-7b,87,16,0.3865,41.39
hunyuan-mt-7b,156,69,1.4456,47.73
hunyuan-mt-7b,93,21,0.472,44.49
hunyuan-mt-7b,136,69,1.4334,48.14
hunyuan-mt-7b,140,55,1.1322,48.58
hunyuan-mt-7b,137,48,0.9731,49.33
hunyuan-mt-7b,174,78,1.5907,49.03
hunyuan-mt-7b,189,88,1.7704,49.71
hunyuan-mt-7b,114,35,0.6625,52.83
hunyuan-mt-7b,157,67,1.2745,52.57
hunyuan-mt-7b,178,74,1.4258,51.9
hunyuan-mt-7b,175,80,1.5515,51.56
hunyuan-mt-7b,181,91,1.8011,50.52
hunyuan-mt-7b,169,93,1.8356,50.67
hunyuan-mt-7b,199,95,1.8782,50.58
hunyuan-mt-7b,207,97,1.9242,50.41
hunyuan-mt-7b,136,50,0.9494,52.67
hunyuan-mt-7b,164,73,1.4029,52.04
hunyuan-mt-7b,122,36,0.6636,54.25
hunyuan-mt-7b,88,26,0.5069,51.29
hunyuan-mt-7b,195,82,1.575,52.06
hunyuan-mt-7b,115,49,0.9077,53.98
hunyuan-mt-7b,227,111,2.1903,50.68
hunyuan-mt-7b,132,47,0.8747,53.73
hunyuan-mt-7b,116,43,0.798,53.88
hunyuan-mt-7b,141,60,1.1429,52.5
hunyuan-mt-7b,149,76,1.4443,52.62
hunyuan-mt-7b,153,73,1.385,52.71
hunyuan-mt-7b,151,75,1.4253,52.62
hunyuan-mt-7b,109,31,0.6317,49.08
hunyuan-mt-7b,125,46,0.8885,51.77
hunyuan-mt-7b,155,61,1.1431,53.36
hunyuan-mt-7b,95,32,0.6361,50.31
hunyuan-mt-7b,124,44,0.8689,50.64
hunyuan-mt-7b,77,19,0.3886,48.89
hunyuan-mt-7b,127,44,0.8503,51.74
hunyuan-mt-7b,127,45,0.8622,52.19
hunyuan-mt-7b,163,76,1.3989,54.33
hunyuan-mt-7b,172,90,1.6749,53.74
hunyuan-mt-7b,217,103,1.9036,54.11
hunyuan-mt-7b,82,13,0.2502,51.96
hunyuan-mt-7b,254,131,2.4488,53.49
hunyuan-mt-7b,138,62,1.1675,53.11
hunyuan-mt-7b,131,62,1.1695,53.01
hunyuan-mt-7b,149,62,1.1596,53.47
hunyuan-mt-7b,102,44,0.8126,54.15
hunyuan-mt-7b,146,52,0.9914,52.45
hunyuan-mt-7b,108,32,0.6166,51.89
hunyuan-mt-7b,215,104,1.9323,53.82
hunyuan-mt-7b,132,47,0.8983,52.32
hunyuan-mt-7b,101,26,0.5188,50.12
hunyuan-mt-7b,100,25,0.5029,49.71
hunyuan-mt-7b,136,49,0.922,53.15
hunyuan-mt-7b,158,64,1.1989,53.38
hunyuan-mt-7b,291,162,3.0599,52.94
hunyuan-mt-7b,89,18,0.3572,50.39
hunyuan-mt-7b,123,57,1.0702,53.26
hunyuan-mt-7b,183,85,1.5879,53.53
hunyuan-mt-7b,137,53,0.9994,53.03
hunyuan-mt-7b,272,145,2.7191,53.33
hunyuan-mt-7b,107,28,0.5786,48.39
hunyuan-mt-7b,165,69,1.303,52.96
hunyuan-mt-7b,99,28,0.5839,47.95
hunyuan-mt-7b,103,26,0.5134,50.64
hunyuan-mt-7b,188,82,1.5491,52.93
hunyuan-mt-7b,115,37,0.7487,49.42
hunyuan-mt-7b,159,71,1.3499,52.6
hunyuan-mt-7b,114,42,0.8359,50.25
hunyuan-mt-7b,145,53,1.0242,51.75
hunyuan-mt-7b,84,13,0.2802,46.4
hunyuan-mt-7b,187,84,1.5924,52.75
hunyuan-mt-7b,129,45,0.8686,51.81
hunyuan-mt-7b,84,13,0.2728,47.66
hunyuan-mt-7b,140,52,1.019,51.03
hunyuan-mt-7b,113,35,0.7023,49.83
hunyuan-mt-7b,99,26,0.5379,48.33
hunyuan-mt-7b,166,75,1.4279,52.53
hunyuan-mt-7b,103,28,0.5793,48.33
hunyuan-mt-7b,130,43,0.861,49.94
hunyuan-mt-7b,146,55,1.0715,51.33
hunyuan-mt-7b,110,33,0.6703,49.23
hunyuan-mt-7b,114,35,0.7011,49.92
hunyuan-mt-7b,275,170,3.1846,53.38
hunyuan-mt-7b,122,40,0.8086,49.47
hunyuan-mt-7b,142,92,1.7477,52.64
hunyuan-mt-7b,163,43,0.8659,49.66
hunyuan-mt-7b,138,69,1.3546,50.94
hunyuan-mt-7b,224,137,2.6008,52.68
hunyuan-mt-7b,154,69,1.362,50.66
hunyuan-mt-7b,83,12,0.2635,45.55
hunyuan-mt-7b,77,8,0.1929,41.46
hunyuan-mt-7b,107,44,0.8692,50.62
hunyuan-mt-7b,192,92,1.7669,52.07
hunyuan-mt-7b,81,12,0.2571,46.67
hunyuan-mt-7b,164,64,1.2509,51.16
hunyuan-mt-7b,88,17,0.3445,49.35
hunyuan-mt-7b,177,77,1.4768,52.14
